task,group,metric,advice_type,batch,mean,std,min,max,n_seeds,seeds,common_horizon,report_interval,sd_shading
repeat-copy,baseline_vs_combined,ber,none,18600,0.3038351155281998,0.014080205204698586,0.27988733258098364,0.31534343821927907,4,"1000,1001,1002,1003",59000,200,True
repeat-copy,baseline_vs_combined,ber,none,18800,0.29497192812152206,0.016545764400521225,0.2677652154117823,0.31224337588995693,4,"1000,1001,1002,1003",59000,200,True
repeat-copy,baseline_vs_combined,ber,none,19000,0.2940113576967269,0.023669419002505528,0.25408194702118636,0.315762101970613,4,"1000,1001,1002,1003",59000,200,True
repeat-copy,baseline_vs_combined,ber,none,19200,0.29152648820541804,0.024743110371764892,0.2488087685406208,0.30889540921896697,4,"1000,1001,1002,1003",59000,200,True
repeat-copy,baseline_vs_combined,ber,none,19400,0.287922178292647,0.0322272110966439,0.23218119386583566,0.30910510528832674,4,"1000,1001,1002,1003",59000,200,True
repeat-copy,baseline_vs_combined,ber,none,19600,0.2750812015798874,0.04045471202081479,0.20545054364018142,0.3032380372658372,4,"1000,1001,1002,1003",59000,200,True
repeat-copy,baseline_vs_combined,ber,none,19800,0.27884383891476316,0.0468659754598092,0.1981234161835164,0.31086180225014687,4,"1000,1001,1002,1003",59000,200,True
repeat-copy,baseline_vs_combined,ber,none,20000,0.27739421662641695,0.04231020443448673,0.20429381932131946,0.3054472500830889,4,"1000,1001,1002,1003",59000,200,True
repeat-copy,baseline_vs_combined,ber,none,20200,0.28091020655294413,0.04474212135374257,0.20347888712538406,0.3089512328803539,4,"1000,1001,1002,1003",59000,200,True
repeat-copy,baseline_vs_combined,ber,none,20400,0.2735886781499721,0.057027575278402805,0.1750286915805191,0.31233626302331685,4,"1000,1001,1002,1003",59000,200,True
repeat-copy,baseline_vs_combined,ber,none,20600,0.28140391946421006,0.05336143083363447,0.18942817001137882,0.31910920947790145,4,"1000,1001,1002,1003",59000,200,True
repeat-copy,baseline_vs_combined,ber,none,20800,0.27102084422309414,0.051270647523794996,0.18227105315076186,0.30350237552076575,4,"1000,1001,1002,1003",59000,200,True
repeat-copy,baseline_vs_combined,ber,none,21000,0.27163198144116907,0.05481792534654553,0.17680625300621614,0.3055181432142854,4,"1000,1001,1002,1003",59000,200,True
repeat-copy,baseline_vs_combined,ber,none,21200,0.2697386579704471,0.05519570095997528,0.1741599730309099,0.3035551105812192,4,"1000,1001,1002,1003",59000,200,True
repeat-copy,baseline_vs_combined,ber,none,21400,0.27146771995467134,0.05111877706375816,0.18304549381602556,0.3041526995971799,4,"1000,1001,1002,1003",59000,200,True
repeat-copy,baseline_vs_combined,ber,none,21600,0.26729904500709384,0.05302992798059416,0.1757217967021279,0.30357277687639,4,"1000,1001,1002,1003",59000,200,True
repeat-copy,baseline_vs_combined,ber,none,21800,0.267917077485472,0.056814869212653954,0.1699324987642467,0.3064767959713936,4,"1000,1001,1002,1003",59000,200,True
repeat-copy,baseline_vs_combined,ber,none,22000,0.23970272775302875,0.11148633775728274,0.04662026876700111,0.30544332690536974,4,"1000,1001,1002,1003",59000,200,True
repeat-copy,baseline_vs_combined,ber,none,22200,0.23064668920414988,0.116969180754512,0.028178131284657865,0.30388559913262725,4,"1000,1001,1002,1003",59000,200,True
repeat-copy,baseline_vs_combined,ber,none,22400,0.2373534120254044,0.1099979893789094,0.046845834369887596,0.3030564163718373,4,"1000,1001,1002,1003",59000,200,True
repeat-copy,baseline_vs_combined,ber,none,22600,0.2548959757493867,0.07921163575441018,0.11776533071475569,0.30301367526873946,4,"1000,1001,1002,1003",59000,200,True
repeat-copy,baseline_vs_combined,ber,none,22800,0.3034667230275227,0.0026204048970505088,0.2992402164894156,0.3061893708258867,4,"1000,1001,1002,1003",59000,200,True
repeat-copy,baseline_vs_combined,ber,none,23000,0.23260100383748067,0.1222703441095745,0.020864685046253727,0.30712944637984035,4,"1000,1001,1002,1003",59000,200,True
repeat-copy,baseline_vs_combined,ber,none,23200,0.22836833050096178,0.12436356597274416,0.013349282819544896,0.31125740060582757,4,"1000,1001,1002,1003",59000,200,True
repeat-copy,baseline_vs_combined,ber,none,23400,0.2250988975173095,0.1260360819126735,0.006915418079588562,0.3027844439074397,4,"1000,1001,1002,1003",59000,200,True
repeat-copy,baseline_vs_combined,ber,none,23600,0.2210763064985804,0.12446961816545833,0.005538984175655059,0.2954735820554197,4,"1000,1001,1002,1003",59000,200,True
repeat-copy,baseline_vs_combined,ber,none,23800,0.226089196196408,0.11330189736374993,0.030006926322821526,0.29850513936951756,4,"1000,1001,1002,1003",59000,200,True
repeat-copy,baseline_vs_combined,ber,none,24000,0.2261710221269459,0.12698778389706702,0.006262652946752496,0.3026656376942992,4,"1000,1001,1002,1003",59000,200,True
repeat-copy,baseline_vs_combined,ber,none,24200,0.22617991351289674,0.12862199924074302,0.0034249436389654875,0.30211758848279713,4,"1000,1001,1002,1003",59000,200,True
repeat-copy,baseline_vs_combined,ber,none,24400,0.22141961625078693,0.1263456252086477,0.0028883852623403073,0.30057571331039074,4,"1000,1001,1002,1003",59000,200,True
repeat-copy,baseline_vs_combined,ber,none,24600,0.2245555824198527,0.1282003570272938,0.002518464473541826,0.3000835511088371,4,"1000,1001,1002,1003",59000,200,True
repeat-copy,baseline_vs_combined,ber,none,24800,0.22309653528398485,0.1250247220269706,0.006629194426932372,0.3008603178802878,4,"1000,1001,1002,1003",59000,200,True
repeat-copy,baseline_vs_combined,ber,none,25000,0.22413886835565788,0.12823890741884886,0.0021065833792090418,0.3039025385584682,4,"1000,1001,1002,1003",59000,200,True
repeat-copy,baseline_vs_combined,ber,none,25200,0.22676515461949748,0.1294622857427473,0.002618109642644413,0.30602156452834606,4,"1000,1001,1002,1003",59000,200,True
repeat-copy,baseline_vs_combined,ber,none,25400,0.22426317775636562,0.12403527929102028,0.009461961379856802,0.29784410837106406,4,"1000,1001,1002,1003",59000,200,True
repeat-copy,baseline_vs_combined,ber,none,25600,0.22759165749448584,0.12684942898401597,0.008061303702415899,0.3081351940706372,4,"1000,1001,1002,1003",59000,200,True
repeat-copy,baseline_vs_combined,ber,none,25800,0.22655583577972724,0.1292692211840204,0.002793064575525932,0.30850625989958647,4,"1000,1001,1002,1003",59000,200,True
repeat-copy,baseline_vs_combined,ber,none,26000,0.22256372171366817,0.1274247119188743,0.0018745270336512476,0.29836183455772697,4,"1000,1001,1002,1003",59000,200,True
repeat-copy,baseline_vs_combined,ber,none,26200,0.22269406663108382,0.12786932331133719,0.0012619941437151283,0.29934961831197143,4,"1000,1001,1002,1003",59000,200,True
repeat-copy,baseline_vs_combined,ber,none,26400,0.22176834166573825,0.12700476330257834,0.0021386535302735867,0.3046486831456423,4,"1000,1001,1002,1003",59000,200,True
repeat-copy,baseline_vs_combined,ber,none,26600,0.22301623872554044,0.12823293200366587,0.0009924300137208774,0.3000484405364841,4,"1000,1001,1002,1003",59000,200,True
repeat-copy,baseline_vs_combined,ber,none,26800,0.22570636687349183,0.12264504577985333,0.013413245194242336,0.3033330135419965,4,"1000,1001,1002,1003",59000,200,True
repeat-copy,baseline_vs_combined,ber,none,27000,0.22711784884668307,0.12131763072657276,0.01702474089746829,0.29933958008885386,4,"1000,1001,1002,1003",59000,200,True
repeat-copy,baseline_vs_combined,ber,none,27200,0.22286138709008813,0.12554047586429504,0.005600312178139575,0.30058991838246585,4,"1000,1001,1002,1003",59000,200,True
repeat-copy,baseline_vs_combined,ber,none,27400,0.22339673759241124,0.12528754156357783,0.006412350351456553,0.29843887776136396,4,"1000,1001,1002,1003",59000,200,True
repeat-copy,baseline_vs_combined,ber,none,27600,0.22230644834751728,0.12756951560672944,0.0014677533810026943,0.299512278996408,4,"1000,1001,1002,1003",59000,200,True
repeat-copy,baseline_vs_combined,ber,none,27800,0.21722033962461865,0.12441357788593743,0.001781088396674022,0.29183741424232723,4,"1000,1001,1002,1003",59000,200,True
repeat-copy,baseline_vs_combined,ber,none,28000,0.21882078889117113,0.12555774688041407,0.0013526719785295427,0.29221019099466505,4,"1000,1001,1002,1003",59000,200,True
repeat-copy,baseline_vs_combined,ber,none,28200,0.21810880194942,0.1252754313507719,0.0012151972786523402,0.29372033769264816,4,"1000,1001,1002,1003",59000,200,True
repeat-copy,baseline_vs_combined,ber,none,28400,0.21731821915862384,0.12530757526293007,0.0004300376691389829,0.2969599234685302,4,"1000,1001,1002,1003",59000,200,True
repeat-copy,baseline_vs_combined,ber,none,28600,0.22149549470297647,0.12645194613799668,0.00260883484093938,0.30022157756611706,4,"1000,1001,1002,1003",59000,200,True
repeat-copy,baseline_vs_combined,ber,none,28800,0.22222999213292496,0.12720881800566208,0.0020272105012554675,0.3018434871733189,4,"1000,1001,1002,1003",59000,200,True
repeat-copy,baseline_vs_combined,ber,none,29000,0.2221674799697939,0.12680895613493845,0.0025421031145378948,0.2974796752911061,4,"1000,1001,1002,1003",59000,200,True
