task,metric,advice_type,batch,n_seeds,mean,std,lower_band,upper_band
copy,cost,combined,14900,2,12.77,18.059507191504423,-5.289507191504423,30.829507191504423
copy,cost,combined,15000,2,12.935,18.292852429295987,-5.357852429295987,31.227852429295986
copy,cost,combined,15100,2,15.15,21.42533546995239,-6.27533546995239,36.57533546995239
copy,cost,combined,15200,2,12.95,18.31406563273158,-5.364065632731581,31.26406563273158
copy,cost,combined,15300,2,14.98,19.318157262016477,-4.338157262016477,34.298157262016474
copy,cost,combined,15400,2,16.175,22.87490437138481,-6.699904371384811,39.04990437138481
copy,cost,combined,15500,2,15.005,21.22027450340829,-6.21527450340829,36.22527450340829
copy,cost,combined,15600,2,16.06,22.712269811711906,-6.652269811711907,38.77226981171191
copy,cost,combined,15700,2,6.675,9.439875528840409,-2.7648755288404088,16.114875528840408
copy,cost,combined,15800,2,0.555,0.7707463914933369,-0.21574639149333685,1.325746391493337
copy,cost,combined,15900,2,11.285,15.959400051380378,-4.674400051380378,27.244400051380378
copy,cost,combined,16000,2,9.3,13.152186130069785,-3.852186130069784,22.452186130069784
copy,cost,combined,16100,2,0.99,1.4000714267493641,-0.41007142674936414,2.390071426749364
copy,cost,combined,16200,2,2.095,2.9627774131716347,-0.8677774131716345,5.057777413171635
copy,cost,combined,16300,2,4.19,5.925554826343269,-1.735554826343269,10.11555482634327
copy,cost,combined,16400,2,4.28,6.052834046956847,-1.7728340469568469,10.332834046956847
copy,cost,combined,16500,2,5.28,7.4529054737062115,-2.1729054737062112,12.73290547370621
copy,cost,combined,16600,2,4.68,6.618519471906084,-1.9385194719060843,11.298519471906083
copy,cost,combined,16700,2,11.84,16.744288578497446,-4.904288578497447,28.584288578497446
copy,cost,combined,16800,2,1.885,2.6657925650732843,-0.7807925650732843,4.550792565073285
copy,cost,combined,16900,2,7.995,11.306637431172895,-3.311637431172895,19.301637431172896
copy,cost,combined,17000,2,10.045,14.20577523403774,-4.1607752340377395,24.25077523403774
copy,cost,combined,17100,2,8.95,12.6572113832392,-3.7072113832392013,21.6072113832392
copy,cost,combined,17200,2,1.2349999999999999,1.7324116139070413,-0.49741161390704147,2.967411613907041
copy,cost,combined,17300,2,0.73,0.42426406871192857,0.3057359312880714,1.1542640687119285
copy,cost,combined,17400,2,4.97,7.0144992693705515,-2.0444992693705517,11.984499269370552
