task,group,metric,advice_type,batch,mean,std,min,max,n_seeds,seeds,common_horizon,report_interval,sd_shading
even-palindrome,controls,accuracy,none,20600,0.7366666666666665,0.06256108126374485,0.665,0.845,6,"1000,1001,1002,1003,1004,1005",77000,200,True
even-palindrome,controls,accuracy,none,20800,0.7174999999999999,0.022314046398326494,0.69,0.745,6,"1000,1001,1002,1003,1004,1005",77000,200,True
even-palindrome,controls,accuracy,none,21000,0.6958333333333333,0.03528652559956686,0.645,0.745,6,"1000,1001,1002,1003,1004,1005",77000,200,True
even-palindrome,controls,accuracy,none,21200,0.7125,0.03375771516754849,0.66,0.77,6,"1000,1001,1002,1003,1004,1005",77000,200,True
even-palindrome,controls,accuracy,none,21400,0.7108333333333333,0.03284010082539669,0.67,0.76,6,"1000,1001,1002,1003,1004,1005",77000,200,True
even-palindrome,controls,accuracy,none,21600,0.7166666666666667,0.03704351795148811,0.64,0.755,6,"1000,1001,1002,1003,1004,1005",77000,200,True
even-palindrome,controls,accuracy,none,21800,0.7050000000000001,0.03304037933599834,0.645,0.745,6,"1000,1001,1002,1003,1004,1005",77000,200,True
even-palindrome,controls,accuracy,none,22000,0.7483333333333334,0.0396512575112344,0.665,0.78,6,"1000,1001,1002,1003,1004,1005",77000,200,True
even-palindrome,controls,accuracy,none,22200,0.73,0.041231056256176596,0.675,0.78,6,"1000,1001,1002,1003,1004,1005",77000,200,True
even-palindrome,controls,accuracy,none,22400,0.7324999999999999,0.028247418761130513,0.7,0.77,6,"1000,1001,1002,1003,1004,1005",77000,200,True
even-palindrome,controls,accuracy,none,22600,0.7475,0.03727711541057507,0.68,0.795,6,"1000,1001,1002,1003,1004,1005",77000,200,True
even-palindrome,controls,accuracy,none,22800,0.7183333333333334,0.03965125751123441,0.66,0.79,6,"1000,1001,1002,1003,1004,1005",77000,200,True
even-palindrome,controls,accuracy,none,23000,0.7191666666666666,0.05995947705649949,0.645,0.785,6,"1000,1001,1002,1003,1004,1005",77000,200,True
even-palindrome,controls,accuracy,none,23200,0.7091666666666666,0.04096916184427284,0.66,0.775,6,"1000,1001,1002,1003,1004,1005",77000,200,True
even-palindrome,controls,accuracy,none,23400,0.7133333333333333,0.06328945848682509,0.615,0.79,6,"1000,1001,1002,1003,1004,1005",77000,200,True
even-palindrome,controls,accuracy,none,23600,0.7341666666666665,0.021294887231967752,0.715,0.78,6,"1000,1001,1002,1003,1004,1005",77000,200,True
even-palindrome,controls,accuracy,none,23800,0.7408333333333333,0.04117206442345212,0.7,0.8,6,"1000,1001,1002,1003,1004,1005",77000,200,True
even-palindrome,controls,accuracy,none,24000,0.7616666666666667,0.056837976349933095,0.685,0.835,6,"1000,1001,1002,1003,1004,1005",77000,200,True
even-palindrome,controls,accuracy,none,24200,0.7591666666666667,0.05426913385054978,0.675,0.845,6,"1000,1001,1002,1003,1004,1005",77000,200,True
even-palindrome,controls,accuracy,none,24400,0.7875,0.04289036410819257,0.735,0.87,6,"1000,1001,1002,1003,1004,1005",77000,200,True
even-palindrome,controls,accuracy,none,24600,0.7733333333333333,0.07214953607304453,0.675,0.87,6,"1000,1001,1002,1003,1004,1005",77000,200,True
even-palindrome,controls,accuracy,none,24800,0.7441666666666666,0.07435369676231453,0.595,0.835,6,"1000,1001,1002,1003,1004,1005",77000,200,True
even-palindrome,controls,accuracy,none,25000,0.7466666666666667,0.05233439489369195,0.655,0.805,6,"1000,1001,1002,1003,1004,1005",77000,200,True
even-palindrome,controls,accuracy,none,25200,0.7316666666666668,0.0703957069398096,0.665,0.87,6,"1000,1001,1002,1003,1004,1005",77000,200,True
even-palindrome,controls,accuracy,none,25400,0.7958333333333334,0.07661683162914588,0.665,0.905,6,"1000,1001,1002,1003,1004,1005",77000,200,True
even-palindrome,controls,accuracy,none,25600,0.785,0.07958224257542214,0.67,0.88,6,"1000,1001,1002,1003,1004,1005",77000,200,True
even-palindrome,controls,accuracy,none,25800,0.7958333333333334,0.07955169528188714,0.715,0.93,6,"1000,1001,1002,1003,1004,1005",77000,200,True
even-palindrome,controls,accuracy,none,26000,0.8116666666666666,0.07220726340811492,0.705,0.935,6,"1000,1001,1002,1003,1004,1005",77000,200,True
even-palindrome,controls,accuracy,none,26200,0.8141666666666666,0.06864259286737032,0.715,0.905,6,"1000,1001,1002,1003,1004,1005",77000,200,True
even-palindrome,controls,accuracy,none,26400,0.82,0.07910962857537214,0.73,0.93,6,"1000,1001,1002,1003,1004,1005",77000,200,True
even-palindrome,controls,accuracy,none,26600,0.8333333333333334,0.0816836716989523,0.725,0.945,6,"1000,1001,1002,1003,1004,1005",77000,200,True
