task,metric,advice_type,batch,n_seeds,mean,std,lower_band,upper_band
copy,cost,none,1900,3,9.393333333333333,0.08326663997864524,9.310066693354688,9.476599973311977
copy,cost,none,2000,3,9.36,0.2551470164434613,9.104852983556539,9.61514701644346
copy,cost,none,2100,3,9.393333333333333,0.13650396819628827,9.256829365137044,9.529837301529621
copy,cost,none,2200,3,9.163333333333334,0.09073771725877439,9.07259561607456,9.254071050592108
copy,cost,none,2300,3,9.03,0.3395585369269924,8.690441463073007,9.369558536926991
copy,cost,none,2400,3,9.15,0.40595566260368904,8.74404433739631,9.55595566260369
copy,cost,none,2500,3,8.826666666666668,0.19347695814575264,8.633189708520915,9.020143624812421
copy,cost,none,2600,3,8.89,0.3601388621073826,8.529861137892619,9.250138862107383
copy,cost,none,2700,3,8.819999999999999,0.11135528725660078,8.708644712743398,8.931355287256599
copy,cost,none,2800,3,8.663333333333332,0.23115651263447765,8.432176820698855,8.89448984596781
copy,cost,none,2900,3,8.676666666666668,0.128970280814354,8.547696385852314,8.805636947481021
copy,cost,none,3000,3,8.416666666666666,0.04932882862316244,8.367337838043504,8.465995495289828
copy,cost,none,3100,3,8.076666666666666,0.2557994005726626,7.8208672660940035,8.332466067239329
copy,cost,none,3200,3,8.49,0.12288205727444512,8.367117942725555,8.612882057274446
copy,cost,none,3300,3,8.246666666666668,0.09451631252505184,8.152150354141616,8.34118297919172
copy,cost,none,3400,3,8.083333333333334,0.4350095784386052,7.6483237548947285,8.518342911771938
copy,cost,none,3500,3,7.993333333333332,0.31214312956291906,7.681190203770413,8.305476462896252
copy,cost,none,3600,3,7.836666666666666,0.02516611478423618,7.81150055188243,7.861832781450902
copy,cost,none,3700,3,7.8933333333333335,0.31501322723551356,7.57832010609782,8.208346560568847
copy,cost,none,3800,3,7.483333333333333,0.29670411748631575,7.1866292158470175,7.780037450819649
copy,cost,none,3900,3,7.816666666666666,0.15567059238447517,7.660996074282191,7.972337259051142
copy,cost,none,4000,3,7.73,0.18330302779823326,7.546696972201767,7.913303027798234
