task,metric,advice_type,batch,n_seeds,mean,std,lower_band,upper_band
copy,loss,combined,3800,3,0.3872231724858284,0.0070802166660888345,0.38014295581973956,0.3943033891519172
copy,loss,combined,3900,3,0.3927580580115318,0.002825186665632336,0.38993287134589943,0.39558324467716416
copy,loss,combined,4000,3,0.38780732790629074,0.0017741211285124642,0.3860332067777783,0.3895814490348032
copy,loss,combined,4100,3,0.38254832684993745,0.005127423915209591,0.37742090293472785,0.38767575076514704
copy,loss,combined,4200,3,0.379099625001351,0.0017339671487320274,0.377365657852619,0.38083359215008306
copy,loss,combined,4300,3,0.3781138464311759,0.005512811204796915,0.372601035226379,0.3836266576359728
copy,loss,combined,4400,3,0.36861711119612056,0.009916302396531088,0.3587008087995895,0.37853341359265164
copy,loss,combined,4500,3,0.3661794211467107,0.007110228400405086,0.3590691927463056,0.3732896495471158
copy,loss,combined,4600,3,0.3608260871469975,0.006767745486214623,0.35405834166078287,0.3675938326332121
copy,loss,combined,4700,3,0.3594806251923243,0.01405372951376592,0.3454268956785584,0.37353435470609025
copy,loss,combined,4800,3,0.3530193714300791,0.007881043076794447,0.3451383283532847,0.36090041450687355
copy,loss,combined,4900,3,0.3521245983242989,0.005277567460148969,0.3468470308641499,0.35740216578444783
copy,loss,combined,5000,3,0.3482116657495498,0.0074290319348065525,0.3407826338147433,0.35564069768435635
copy,loss,none,100,3,0.6798451175292333,0.006198790360936917,0.6736463271682963,0.6860439078901702
copy,loss,none,200,3,0.6404403710365295,0.003189583813228086,0.6372507872233014,0.6436299548497576
copy,loss,none,300,3,0.612360227505366,0.0007790268624622697,0.6115812006429038,0.6131392543678282
copy,loss,none,400,3,0.5936671257019043,0.0020464706870266594,0.5916206550148776,0.595713596388931
copy,loss,none,500,3,0.583610345820586,0.004047596602844371,0.5795627492177416,0.5876579424234304
copy,loss,none,600,3,0.5684944072365762,0.00579478837442494,0.5626996188621513,0.5742891956110011
copy,loss,none,700,3,0.5562200085322062,0.008368181164405361,0.5478518273678008,0.5645881896966116
copy,loss,none,800,3,0.5470471978187561,0.006824194806029212,0.5402230030127269,0.5538713926247854
copy,loss,none,900,3,0.54151392330726,0.0025979914013282922,0.5389159319059317,0.5441119147085883
copy,loss,none,1000,3,0.5400154813130696,0.008999783524219757,0.5310156977888499,0.5490152648372894
copy,loss,none,1100,3,0.5278391723831496,0.005897455485258297,0.5219417168978913,0.5337366278684079
copy,loss,none,1200,3,0.5212183091044426,0.013447573318534878,0.5077707357859077,0.5346658824229774
copy,loss,none,1300,3,0.5181813689072927,0.004777406105360896,0.5134039628019318,0.5229587750126536
copy,loss,none,1400,3,0.5061494351426762,0.008785271204883285,0.4973641639377929,0.5149347063475594
copy,loss,none,1500,3,0.5062492269277573,0.00219180042865424,0.5040574264991031,0.5084410273564115
copy,loss,none,1600,3,0.4971201964219411,0.008680745163634249,0.48843945125830684,0.5058009415855753
copy,loss,none,1700,3,0.4933057641983032,0.01615878403743585,0.4771469801608673,0.5094645482357391
copy,loss,none,1800,3,0.48743724226951596,0.008166127404898865,0.4792711148646171,0.4956033696744148
copy,loss,none,1900,3,0.47472495923439667,0.00535490058970743,0.4693700586446892,0.4800798598241041
copy,loss,none,2000,3,0.47358193884293237,0.005887394003971846,0.4676945448389605,0.47946933284690424
copy,loss,none,2100,3,0.4742370436588923,0.007699640194489241,0.46653740346440303,0.48193668385338156
copy,loss,none,2200,3,0.46911860058705007,0.005598500208396848,0.4635201003786532,0.47471710079544693
copy,loss,none,2300,3,0.4631900661190351,0.002096148718601401,0.4610939174004337,0.46528621483763655
copy,loss,none,2400,3,0.4611565459767977,0.010977894790677475,0.45017865118612027,0.4721344407674752
copy,loss,none,2500,3,0.44538708359003065,0.009134296356394699,0.436252787233636,0.45452137994642533
copy,loss,none,2600,3,0.4550881373882294,0.012402478585512822,0.4426856588027166,0.4674906159737422
copy,loss,none,2700,3,0.4476721392075221,0.009170286552054022,0.43850185265546804,0.4568424257595761
copy,loss,none,2800,3,0.44521878177920976,0.013553623981279864,0.4316651577979299,0.4587724057604896
copy,loss,none,2900,3,0.4403425975640615,0.011285001035494643,0.4290575965285669,0.45162759859955615
copy,loss,none,3000,3,0.4357009586691856,0.003813055734460415,0.43188790293472523,0.439514014403646
copy,loss,none,3100,3,0.42590796942512194,0.010943771600431584,0.41496419782469035,0.4368517410255535
copy,loss,none,3200,3,0.430450912018617,0.008741397079232157,0.42170951493938486,0.4391923090978492
copy,loss,none,3300,3,0.42823079357544575,0.009112355459728107,0.41911843811571764,0.43734314903517385
copy,loss,none,3400,3,0.4182187630732854,0.011625284625588237,0.40659347844769717,0.4298440476988737
copy,loss,none,3500,3,0.41516870170831677,0.01140318772926182,0.40376551397905497,0.42657188943757857
copy,loss,none,3600,3,0.411541978418827,0.007322961536491391,0.40421901688233564,0.41886493995531837
copy,loss,none,3700,3,0.40861441552639005,0.012351879354522295,0.39626253617186774,0.42096629488091236
copy,loss,none,3800,3,0.39830516070127486,0.0075359298822104915,0.3907692308190644,0.40584109058348533
copy,loss,none,3900,3,0.40621438950300215,0.0069341401747449365,0.39928024932825723,0.41314852967774707
copy,loss,none,4000,3,0.40262188856800396,0.004507518412367301,0.39811437015563667,0.40712940698037126
copy,loss,none,4100,3,0.3964156749347845,0.011835358947458135,0.3845803159873264,0.40825103388224265
copy,loss,none,4200,3,0.3907831027110418,0.00435133766017579,0.38643176505086596,0.3951344403712176
copy,loss,none,4300,3,0.3949990190068881,0.003792225247028926,0.3912067937598592,0.39879124425391704
copy,loss,none,4400,3,0.38555120637019474,0.007161637557081389,0.37838956881311336,0.3927128439272761
copy,loss,none,4500,3,0.38199841002623236,0.008725470695003493,0.37327293933122885,0.39072388072123587
copy,loss,none,4600,3,0.38020310049255684,0.0019617989238974974,0.37824130156865937,0.3821648994164543
copy,loss,none,4700,3,0.37680610318978625,0.009236710949341831,0.36756939224044444,0.38604281413912805
copy,loss,none,4800,3,0.3709448540707429,0.010110444811503139,0.36083440925923976,0.38105529888224604
copy,loss,none,4900,3,0.37052905062834424,0.005084276578090783,0.36544477405025344,0.37561332720643503
copy,loss,none,5000,3,0.36483333001534146,0.00805296993411766,0.3567803600812238,0.3728862999494591
copy,loss,zero,100,3,0.6749147886037826,0.0012719047972756382,0.6736428838065069,0.6761866934010583
copy,loss,zero,200,3,0.6340873032808304,0.0027660968212076544,0.6313212064596228,0.6368534001020381
copy,loss,zero,300,3,0.6067083527644476,0.002953964743752031,0.6037543880206956,0.6096623175081995
copy,loss,zero,400,3,0.5884945173064867,0.0034163288452343384,0.5850781884612524,0.5919108461517211
copy,loss,zero,500,3,0.5821668095390002,0.002664858993423493,0.5795019505455767,0.5848316685324237
copy,loss,zero,600,3,0.5676091887553533,0.00392743909993255,0.5636817496554207,0.5715366278552858
copy,loss,zero,700,3,0.5561041065057118,0.004632309327982812,0.551471797177729,0.5607364158336947
copy,loss,zero,800,3,0.543038314084212,0.005550845707412711,0.5374874683767993,0.5485891597916247
copy,loss,zero,900,3,0.5377009777228038,0.004543746095450104,0.5331572316273537,0.5422447238182538
