advice_type,checkpoint_batch,sequence_length,repetitions,n_seeds,seeds,mean_loss,std_loss,mean_bit_error_rate,std_bit_error_rate,mean_exact_sequence_accuracy,std_exact_sequence_accuracy,mean_cost,std_cost
combined,50000,50,1,4,"1000,1001,1002,1003",1.5939840407019306,2.7608536707145355,0.11052832156419753,0.19144066862450088,0.75,0.4330127018922193,50.7325,87.87126759498807
combined,50000,50,3,4,"1000,1001,1002,1003",3.074490270018577,1.633910775038047,0.14279065623413773,0.1129811568984716,0.3262500062584877,0.34955999878052973,194.0525,153.54138963566143
combined,50000,50,5,4,"1000,1001,1002,1003",4.813047230243683,0.6281576652716184,0.25483621302992104,0.06732408651129804,0.005000000074505806,0.008660254166892228,575.6750000000001,152.08510968368995
combined,50000,50,7,4,"1000,1001,1002,1003",5.420443391799926,1.6933992448183606,0.2929681077599525,0.05931596702858657,0.0,0.0,925.4862499999999,187.37913912623122
combined,50000,50,10,4,"1000,1001,1002,1003",6.962408483028412,2.757092686144536,0.3464429482817649,0.07612486211218679,0.0,0.0,1562.11125,343.2470107731275
none,50000,10,1,4,"1000,1001,1002,1003",0.30403951494740794,0.17808455930074696,0.16752525232732296,0.09820003495443598,0.25,0.4330127018922193,16.585,9.721803459235328
none,50000,10,3,4,"1000,1001,1002,1003",0.3908634581858223,0.22566770642116557,0.22257616445422174,0.1285143529109824,0.25,0.4330127018922193,62.09875,35.85550452423588
none,50000,10,5,4,"1000,1001,1002,1003",0.4098703924631991,0.23594489909885744,0.23615468244315707,0.1361552376518961,0.23750000149011613,0.41136206937856523,108.395,62.49525451984334
none,50000,10,7,4,"1000,1001,1002,1003",0.5043118426576256,0.16046687848242286,0.2647437408566475,0.1428284944193866,0.0,0.0,169.17125000000001,91.26740761184959
none,50000,10,10,4,"1000,1001,1002,1003",0.6499151758849622,0.10733497207053144,0.30911028655245903,0.1562390812909825,0.0,0.0,280.98125,142.02132425163308
none,50000,20,1,4,"1000,1001,1002,1003",0.3876614566389094,0.22432568638500147,0.22992063462734222,0.13301564534990407,0.25,0.4330127018922193,43.455,25.13995699081444
none,50000,20,3,4,"1000,1001,1002,1003",0.43087088239783494,0.24877578209826307,0.26364071294665337,0.15222959908230796,0.25,0.4330127018922193,144.73875,83.57404908036645
none,50000,20,5,4,"1000,1001,1002,1003",0.4741073210787363,0.19366673081963928,0.2723927394399652,0.15454117402901194,0.21750000417232512,0.3767210578729099,247.60500000000002,140.47792713625867
none,50000,20,7,4,"1000,1001,1002,1003",0.4902549200691283,0.21367774760098968,0.2870626472635195,0.15891634353689124,0.0,0.0,364.2825,201.6648402827077
none,50000,20,10,4,"1000,1001,1002,1003",0.6729988895356656,0.04485906848974544,0.33258637394756074,0.13617233013480326,0.0,0.0,601.64875,246.33574393942
none,50000,30,1,4,"1000,1001,1002,1003",0.43119498014943924,0.2490042008331213,0.26697580590844155,0.154247405924763,0.25,0.4330127018922193,74.48625,43.035026341196776
none,50000,30,3,4,"1000,1001,1002,1003",0.4473788129352215,0.2582685933625828,0.2843406595289707,0.16417581921462207,0.25,0.4330127018922193,232.87499999999997,134.45999586308187
none,50000,30,5,4,"1000,1001,1002,1003",0.4848649828578345,0.2147031687847075,0.2925524277088698,0.16570329237843656,0.11250000298023224,0.19485572101341236,397.57875,225.19077471598942
none,50000,30,7,4,"1000,1001,1002,1003",0.5443907584063709,0.17653447450876272,0.3045431817532517,0.16526766392940886,0.0,0.0,578.3275,313.84329271349736
none,50000,30,10,4,"1000,1001,1002,1003",0.8504550710320473,0.19729129402000914,0.355666296556592,0.11439167977604135,0.0,0.0,963.5,309.88706158453925
none,50000,50,1,4,"1000,1001,1002,1003",0.5332618168380577,0.22738477387208877,0.31698529460991265,0.17747855237799026,0.15500000342726708,0.2684678811093767,145.49624999999997,81.46265535315861
none,50000,50,3,4,"1000,1001,1002,1003",0.48628409436496445,0.2801617734696629,0.31485651365073863,0.18153434189360046,0.17750000208616257,0.3074390219568153,427.89,246.70516940773655
none,50000,50,5,4,"1000,1001,1002,1003",0.6044366456568242,0.13831951939008966,0.3239248550264165,0.17299950919884458,0.0,0.0,731.74625,390.8058926496471
none,50000,50,7,4,"1000,1001,1002,1003",0.7951457269489765,0.08208564118810077,0.3438121251761913,0.1440479705712051,0.0,0.0,1086.1025,455.0475355594732
none,50000,50,10,4,"1000,1001,1002,1003",1.2452937826514243,0.5921450410414426,0.38793551661074155,0.09005985985138731,0.0,0.0,1749.20125,406.0799065820513
